REGION,TECHNOLOGY,VALUE
RE1,DEMRESELCILU_LFC_RUR,99999.0
RE1,DEMRESELCILU_MID_RUR,99999.0
RE1,DEMRESELCOTH_MID_RUR,99999.0
RE1,DEMRESELCOTH_HIG_RUR,99999.0
RE1,DEMRESELCAIR_SPL_MID_RUR,99999.0
RE1,DEMRESELCAIR_PAR_MID_RUR,99999.0
RE1,DEMRESWOOCKN_HIG_RUR,99999.0
RE1,DEMRESLPGCKN_HIG_RUR,99999.0
RE1,DEMRESNGSWHT_HIG_RUR,99999.0
RE1,DEMRESELCWHT_TAN_HIG_RUR,99999.0
RE1,DEMRESELCWHT_DUC_HIG_RUR,99999.0
RE1,DEMRESELCAIR_SPL_HIG_RUR,99999.0
RE1,DEMRESELCAIR_PAR_HIG_RUR,99999.0
RE1,DEMRESELCTV_HIG_RUR,99999.0
RE1,DEMTERELCILU_MID,99999.0
RE1,DEMINDHDGBOI_HIG,99999.0
RE1,DEMINDWASFUR_LOW,99999.0
RE1,DEMINDWASFUR_MID,99999.0
RE1,DEMINDWASFUR_HIG,99999.0
RE1,DEMINDAUTFUR,99999.0
RE1,DEMINDWASBOI_LOW,99999.0
RE1,DEMINDAUTBOI,99999.0
RE1,DEMINDWASBOI_MID,99999.0
RE1,DEMINDWASBOI_HIG,99999.0
RE1,PWRNGS_CC,99999.0
RE1,PWRDSL,99999.0
RE1,PWRJET,99999.0
RE1,PWRLPG,99999.0
RE1,PWRFOIL,99999.0
RE1,PWRHYDROR_NDC,99999.0
RE1,MINWAS_ORG,99999.0
RE1,DEMTRAJETSAFAVI,99999.0
RE1,UPSSAF,99999.0
RE1,UPSBJS,99999.0
RE1,UPSEV_FC,99999.0
