REGION,TECHNOLOGY,VALUE
RE1,DEMRESELCWHT_TAN_HIG_RUR,10.0
RE1,DEMRESELCWHT_DUC_HIG_RUR,10.0
RE1,DEMRESELCAIR_SPL_HIG_RUR,10.0
RE1,DEMRESELCAIR_PAR_HIG_RUR,20.0
RE1,DEMRESELCTV_HIG_RUR,5.0
RE1,DEMTERELCILU_MID,7.0
RE1,DEMINDHDGBOI_HIG,25.0
RE1,DEMINDWASFUR_LOW,25.0
RE1,DEMINDWASFUR_MID,25.0
RE1,DEMINDWASFUR_HIG,25.0
RE1,DEMINDAUTFUR,100.0
RE1,DEMINDWASBOI_LOW,25.0
RE1,DEMINDAUTBOI,100.0
RE1,DEMINDWASBOI_MID,25.0
RE1,DEMINDWASBOI_HIG,25.0
RE1,PWRNGS_CC,30.0
RE1,PWRDSL,40.0
RE1,PWRJET,40.0
RE1,PWRLPG,40.0
RE1,PWRFOIL,40.0
RE1,PWRHYDROR_NDC,60.0
RE1,MINWAS_ORG,100.0
RE1,DEMTRAJETSAFAVI,35.0
RE1,UPSSAF,40.0
RE1,UPSBJS,40.0
RE1,UPSEV_FC,20.0
